strategy,pattern_fired_count,avg_score_base,avg_threshold,dominant_block_stage,category,note
SH_BMS_RTO,0,0.0,0.0,NONE,pattern_never_formed,"Pattern condition never triggered even once across 3 months of GOLD M15 data (5914 bars evaluated). Genuinely rare/absent - not a bug."
LIQ_VOID,0,0.0,0.0,NONE,pattern_never_formed,"Same as SH_BMS_RTO - zero setups across 3 months."
ADX_RSI,2800,96.5,62.8,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score comfortably clears threshold (96.5 vs 62.8) - not a threshold problem."
BOLLINGER,213,72.1,62.3,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
SAR,4101,84.8,61.7,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
TSI,3874,91.8,62.4,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
BJORGUM,618,74.8,61.6,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
LIQ_SWEEP,339,86.1,59.7,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
FVG_CONT,436,93.0,59.7,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
BREAKOUT_ACC,431,97.3,64.7,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
LONDON_BO,351,99.0,62.9,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
EMA_PULLBACK,985,87.9,59.1,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
BB_SQUEEZE,83,96.6,62.5,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
ICHIMOKU,142,91.4,60.0,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
RSI_DIV,416,77.4,61.1,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
ORDER_BLOCK,1955,94.5,57.7,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
IFVG,2,91.5,61.0,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Only 2 setups in 3 months - thin data, legacy path (IFVG_NXR is the active shadow path and DOES execute - see separate row)."
OB_MIT,1867,94.5,57.5,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold. Legacy path only - OB_MIT_NXR is the active shadow path and DOES execute (88 trades - see separate row)."
SMS_BMS_RTO,2,100.0,63.5,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Only 2 setups - thin data."
AMD_REVERSAL,17,97.9,57.2,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold - benefits from the v2.0.34 AMD phase fix (was 0 setups before with the old model since MANIPULATION phase didn't exist)."
OTE_CONT,159,78.9,58.0,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
AMD_CONT,73,97.1,61.2,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
JUDAS_SWING,27,98.9,55.6,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold comfortably (98.9 vs 55.6)."
LDN_REVERSAL,31,99.0,56.5,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold comfortably."
NY_REVERSAL,9,93.3,48.9,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold. Only 9 setups - thin data."
WEEKLY_EXP,28,98.2,63.5,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold."
PO3,10,100.0,63.1,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Score clears threshold. Only 10 setups - thin data even over 3 months, consistent with being a genuinely rare pattern (3-candle AMD cycle)."
RANGE_FADE,1,98.0,63.0,PREFLIGHT(10),blocked_by_gate:PREFLIGHT(ambiguous),"Only 1 setup in 3 months - very thin data, needs even longer history to judge."
